prodcodeid	dmdid	bnfcode	readcode	termfromemis	dmdproductdescription	bnfname	productname	readcode_desc	dmdlevel	vpid	atc	formulation	routeofadministration	drugsubstancename	substancestrength	category
3227641000033114	9003911000001102	0302000U0BBAAAA	NA	alvesco 80 inhaler (astrazeneca uk ltd)	alvesco 80 inhaler (covis pharma europe b.v.)	alvesco 80 inhaler	alvesco 80 inhaler	NA	AMP	9004511000001107	R03BA08	pressurised inhalation	inhalation	ciclesonide	80.000microgram/1.000dose	ics
3256341000033119	9117811000001107	0302000K0AAAWAW	NA	budesonide 200micrograms/dose dry powder inhalation cartridge	budesonide 200micrograms/dose dry powder inhalation cartridge	budesonide 200micrograms/dose dry pdr inhalation cartridge	budesonide 200micrograms/dose dry powder inhalation cartridge	NA	VMP	9117811000001107	R03BA02	inhalation powder	inhalation	budesonide	200.000microgram/1.000dose	ics
330241000033113	3348611000001107	0301040R0BBAAAA	NA	combivent inhaler (boehringer ingelheim ltd)	combivent inhaler (boehringer ingelheim ltd)	combivent inhaler	combivent inhaler	NA	AMP	35936311000001102	R03AK04	pressurised inhalation	inhalation	ipratropium bromide/ salbutamol sulfate	20.000microgram/1.000dose + 100.000microgram/1.000dose	saba-sama
3343041000033119	9525111000001105	0302000C0BNAABU	NA	easyhaler beclometasone 200micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler beclometasone 200micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler beclometasone 200micrograms/dose dry pdr inhaler	easyhaler beclometasone 200micrograms/dose dry powder inhaler	NA	AMP	35908411000001100	R03BA01	inhalation powder	inhalation	beclometasone dipropionate	200.000microgram/1.000dose	ics
3343941000033118	9207411000001106	0301011R0AABZBZ	NA	salbutamol 100micrograms/dose dry powder inhaler	salbutamol 100micrograms/dose dry powder inhaler	salbutamol 100micrograms/dose dry powder inhaler	salbutamol 100micrograms/dose dry powder inhaler	NA	VMP	9207411000001106	R03AC02	inhalation powder	inhalation	salbutamol	100.000microgram/1.000dose	saba
3344041000033116	NA	NA	NA	salbutamol dry powder inhaler 200 micrograms/actuation, 200 dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
3347041000033114	9652711000001107	0301011E0AAADAD	NA	formoterol 12micrograms/dose inhaler cfc free	formoterol 12micrograms/dose inhaler cfc free	formoterol 12micrograms/dose inhaler cfc free	formoterol 12micrograms/dose inhaler cfc free	NA	VMP	9652711000001107	R03AC13	pressurised inhalation	inhalation	formoterol fumarate dihydrate	12.000microgram/1.000dose	laba
3347141000033113	9628711000001106	0301011E0BDAAAD	NA	atimos modulite 12micrograms/dose inhaler (chiesi ltd)	atimos modulite 12micrograms/dose inhaler (chiesi ltd)	atimos modulite 12micrograms/dose inhaler	atimos modulite 12micrograms/dose inhaler	NA	AMP	9652711000001107	R03AC13	pressurised inhalation	inhalation	formoterol fumarate dihydrate	12.000microgram/1.000dose	laba
366941000033113	36565811000001104	0501013K0AAADAD	NA	co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	co-amoxiclav 125mg/31mg/5ml oral suspension sugar free	NA	VMP	36565811000001104	J01CR02	oral suspension	oral	amoxicillin trihydrate/ potassium clavulanate	25.000mg/1.000ml + 6.250mg/1.000ml	abx
367041000033114	37083611000001104	0501013K0AAAGAG	NA	co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	co-amoxiclav 250mg/62mg/5ml oral suspension sugar free	NA	VMP	37083611000001104	J01CR02	oral suspension	oral	amoxicillin trihydrate/ potassium clavulanate	50.000mg/1.000ml + 12.500mg/1.000ml	abx
367541000033116	37083711000001108	0501013K0AAAKAK	NA	co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	co-amoxiclav 400mg/57mg/5ml oral suspension sugar free	NA	VMP	37083711000001108	J01CR02	oral suspension	oral	amoxicillin trihydrate/ potassium clavulanate	80.000mg/1.000ml + 11.400mg/1.000ml	abx
368341000033110	36090611000001106	0501013L0AAADAD	NA	co-fluampicil 125mg/125mg/5ml oral suspension	co-fluampicil 125mg/125mg/5ml oral suspension	co-fluampicil 125mg/125mg/5ml oral suspension	co-fluampicil 125mg/125mg/5ml oral suspension	NA	VMP	36090611000001106	J01CA51	oral suspension	oral	ampicillin trihydrate/ flucloxacillin magnesium	25.000mg/1.000ml + 25.000mg/1.000ml	abx
370041000033115	39732111000001101	0501013K0AAAAAA	NA	co-amoxiclav 250mg/125mg tablets	co-amoxiclav 250mg/125mg tablets	co-amoxiclav 250mg/125mg tablets	co-amoxiclav 250mg/125mg tablets	NA	VMP	39732111000001101	J01CR02	tablet	oral	amoxicillin trihydrate/ potassium clavulanate	250.000mg + 125.000mg	abx
370141000033116	39732211000001107	0501013K0AAAJAJ	NA	co-amoxiclav 500mg/125mg tablets	co-amoxiclav 500mg/125mg tablets	co-amoxiclav 500mg/125mg tablets	co-amoxiclav 500mg/125mg tablets	NA	VMP	39732211000001107	J01CR02	tablet	oral	amoxicillin trihydrate/ potassium clavulanate	500.000mg + 125.000mg	abx
37241000033112	196111000001109	0501013B0BDABAJ	NA	almodan 125mg/5ml syrup (teva uk ltd)	almodan 125mg/5ml syrup (teva uk ltd)	almodan 125mg/5ml syrup	almodan 125mg/5ml syrup	NA	AMP	323732002	J01CA04	oral suspension	oral	amoxicillin trihydrate	25.000mg/1.000ml	abx
3838541000033117	9742311000001103	0501050B0AAAKAK	NA	clarithromycin 125mg granules straws	clarithromycin 125mg granules straws	clarithromycin 125mg granules straws	clarithromycin 125mg granules straws	NA	VMP	9742311000001103	J01FA09	granules	oral	clarithromycin	125.000mg	abx
3838641000033116	9742411000001105	0501050B0AAALAL	NA	clarithromycin 187.5mg granules straws	clarithromycin 187.5mg granules straws	clarithromycin 187.5mg granules straws	clarithromycin 187.5mg granules straws	NA	VMP	9742411000001105	J01FA09	granules	oral	clarithromycin	187.500mg	abx
3838741000033113	9742511000001109	0501050B0AAAMAM	NA	clarithromycin 250mg granules straws	clarithromycin 250mg granules straws	clarithromycin 250mg granules straws	clarithromycin 250mg granules straws	NA	VMP	9742511000001109	J01FA09	granules	oral	clarithromycin	250.000mg	abx
3838841000033115	9739611000001100	0501050B0BDAAAK	NA	clarosip 125mg granules for oral suspension straws (grunenthal ltd)	clarosip 125mg granules for oral suspension straws (grunenthal ltd)	clarosip 125mg granules for oral suspension straws	clarosip 125mg granules for oral suspension straws	NA	AMP	9742311000001103	J01FA09	granules	oral	clarithromycin	125.000mg	abx
3838941000033111	9739911000001106	0501050B0BDABAL	NA	clarosip 187.5mg granules for oral suspension straws (grunenthal ltd)	clarosip 187.5mg granules for oral suspension straws (grunenthal ltd)	clarosip 187.5mg granules for oral suspension straws	clarosip 187.5mg granules for oral suspension straws	NA	AMP	9742411000001105	J01FA09	granules	oral	clarithromycin	187.500mg	abx
3839041000033119	9740211000001105	0501050B0BDACAM	NA	clarosip 250mg granules for oral suspension straws (grunenthal ltd)	clarosip 250mg granules for oral suspension straws (grunenthal ltd)	clarosip 250mg granules for oral suspension straws	clarosip 250mg granules for oral suspension straws	NA	AMP	9742511000001109	J01FA09	granules	oral	clarithromycin	250.000mg	abx
3855941000033115	10075611000001101	0301011U0AAAHAH	NA	salmeterol 25micrograms/dose inhaler cfc free	salmeterol 25micrograms/dose inhaler cfc free	salmeterol 25micrograms/dose inhaler cfc free	salmeterol 25micrograms/dose inhaler cfc free	NA	VMP	10075611000001101	R03AC12	pressurised inhalation	inhalation	salmeterol xinafoate	25.000microgram/1.000dose	laba
3856041000033113	10073011000001107	0301011U0BBAFAH	NA	serevent 25micrograms/dose evohaler (glaxosmithkline uk ltd)	serevent 25micrograms/dose evohaler (glaxosmithkline uk ltd)	serevent 25micrograms/dose evohaler	serevent 25micrograms/dose evohaler	NA	AMP	10075611000001101	R03AC12	pressurised inhalation	inhalation	salmeterol xinafoate	25.000microgram/1.000dose	laba
3871541000033110	35912111000001105	0302000K0AAAKAK	NA	budesonide 100micrograms/dose dry powder inhaler	budesonide 100micrograms/dose dry powder inhaler	budesonide 100micrograms/dose dry powder inhaler	budesonide 100micrograms/dose dry powder inhaler	NA	VMP	35912111000001105	R03BA02	inhalation powder	inhalation	budesonide	100.000microgram/1.000dose	ics
3871641000033111	35912411000001100	0302000K0AAAGAG	NA	budesonide 200micrograms/dose dry powder inhaler	budesonide 200micrograms/dose dry powder inhaler	budesonide 200micrograms/dose dry powder inhaler	budesonide 200micrograms/dose dry powder inhaler	NA	VMP	35912411000001100	R03BA02	inhalation powder	inhalation	budesonide	200.000microgram/1.000dose	ics
3871741000033119	35912711000001106	0302000K0AAAHAH	NA	budesonide 400micrograms/dose dry powder inhaler	budesonide 400micrograms/dose dry powder inhaler	budesonide 400micrograms/dose dry powder inhaler	budesonide 400micrograms/dose dry powder inhaler	NA	VMP	35912711000001106	R03BA02	inhalation powder	inhalation	budesonide	400.000microgram/1.000dose	ics
3871841000033112	10073911000001106	0302000K0BGAAAK	NA	easyhaler budesonide 100micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 100micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 100micrograms/dose dry powder inhaler	easyhaler budesonide 100micrograms/dose dry powder inhaler	NA	AMP	35912111000001105	R03BA02	inhalation powder	inhalation	budesonide	100.000microgram/1.000dose	ics
3871941000033116	10074611000001102	0302000K0BGABAG	NA	easyhaler budesonide 200micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 200micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 200micrograms/dose dry powder inhaler	easyhaler budesonide 200micrograms/dose dry powder inhaler	NA	AMP	35912411000001100	R03BA02	inhalation powder	inhalation	budesonide	200.000microgram/1.000dose	ics
3872041000033110	10074411000001100	0302000K0BGACAH	NA	easyhaler budesonide 400micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 400micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	easyhaler budesonide 400micrograms/dose dry powder inhaler	easyhaler budesonide 400micrograms/dose dry powder inhaler	NA	AMP	35912711000001106	R03BA02	inhalation powder	inhalation	budesonide	400.000microgram/1.000dose	ics
3942841000033114	10621011000001101	0302000C0AABVBV	NA	beclometasone 200micrograms/dose inhaler cfc free	beclometasone 200micrograms/dose inhaler cfc free	beclometasone 200micrograms/dose inhaler cfc free	beclometasone 200micrograms/dose inhaler cfc free	NA	VMP	10621011000001101	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	200.000microgram/1.000dose	ics
3942941000033118	10621111000001100	0302000C0AABWBW	NA	beclometasone 250micrograms/dose inhaler cfc free	beclometasone 250micrograms/dose inhaler cfc free	beclometasone 250micrograms/dose inhaler cfc free	beclometasone 250micrograms/dose inhaler cfc free	NA	VMP	10621111000001100	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	250.000microgram/1.000dose	ics
3943041000033111	10617711000001103	0302000C0BPAABE	NA	clenil modulite 50micrograms/dose inhaler (chiesi ltd)	clenil modulite 50micrograms/dose inhaler (chiesi ltd)	clenil modulite 50micrograms/dose inhaler	clenil modulite 50micrograms/dose inhaler	NA	AMP	35909611000001106	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	50.000microgram/1.000dose	ics
3943341000033113	10618211000001109	0302000C0BPABBF	NA	clenil modulite 100micrograms/dose inhaler (chiesi ltd)	clenil modulite 100micrograms/dose inhaler (chiesi ltd)	clenil modulite 100micrograms/dose inhaler	clenil modulite 100micrograms/dose inhaler	NA	AMP	35908111000001105	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	100.000microgram/1.000dose	ics
3943441000033119	10619311000001107	0302000C0BPACBV	NA	clenil modulite 200micrograms/dose inhaler (chiesi ltd)	clenil modulite 200micrograms/dose inhaler (chiesi ltd)	clenil modulite 200micrograms/dose inhaler	clenil modulite 200micrograms/dose inhaler	NA	AMP	10621011000001101	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	200.000microgram/1.000dose	ics
3943641000033117	10619611000001102	0302000C0BPADBW	NA	clenil modulite 250micrograms/dose inhaler (chiesi ltd)	clenil modulite 250micrograms/dose inhaler (chiesi ltd)	clenil modulite 250micrograms/dose inhaler	clenil modulite 250micrograms/dose inhaler	NA	AMP	10621111000001100	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	250.000microgram/1.000dose	ics
3955441000033115	11034311000001100	0501050A0AAAGAG	NA	azithromycin 250mg tablets	azithromycin 250mg tablets	azithromycin 250mg tablets	azithromycin 250mg tablets	NA	VMP	11034311000001100	J01FA10	tablet	oral	azithromycin	250.000mg	abx
4063241000033118	NA	NA	NA	formoterol dry powder inhaler 12 micrograms/actuation, 60 dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
4063341000033111	NA	NA	NA	formoterol dry powder inhaler 12 micrograms/actuation, 120 dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
4063541000033116	11176411000001106	0301011E0BEAAAC	NA	formoterol easyhaler 12micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	formoterol easyhaler 12micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	formoterol easyhaler 12micrograms/dose dry powder inhaler	formoterol easyhaler 12micrograms/dose dry powder inhaler	NA	AMP	39113011000001109	R03AC13	inhalation powder	inhalation	formoterol fumarate dihydrate	12.000microgram/1.000dose	laba
415841000033119	2852111000001109	0501030I0BHAAAB	NA	demix 100 capsules (ashbourne pharmaceuticals ltd)	demix 100 capsules (ashbourne pharmaceuticals ltd)	demix 100 capsules	demix 100 capsules	NA	AMP	324059006	J01AA02	capsule	oral	doxycycline hyclate	100.000mg	abx
415941000033110	2848211000001104	0501030I0BHABAA	NA	demix 50 capsules (ashbourne pharmaceuticals ltd)	demix 50 capsules (ashbourne pharmaceuticals ltd)	demix 50 capsules	demix 50 capsules	NA	AMP	324070004	J01AA02	capsule	oral	doxycycline hyclate	50.000mg	abx
4270641000033112	12197411000001102	0301020Q0AAACAC	NA	tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device cfc free	tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device cfc free	tiotropium brom 2.5microg/dose soln for inhalation cfcfree	tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device cfc free	NA	VMP	12197411000001102	R03BB04	inhalation solution	inhalation	tiotropium bromide	2.500microgram/1.000dose	lama
4270741000033115	12146911000001103	0301020Q0BBACAC	NA	spiriva respimat 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)	spiriva respimat 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)	spiriva respimat 2.5microg/dose inhalation soln	spiriva respimat 2.5micrograms/dose inhalation solution cartridge with device	NA	AMP	12197411000001102	R03BB04	inhalation solution	inhalation	tiotropium bromide	2.500microgram/1.000dose	lama
429141000033119	NA	NA	NA	decortisyl tablets 5 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
429441000033110	NA	NA	NA	deltastab tablets 1 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
429541000033111	NA	NA	NA	deltastab tablets 5 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
431541000033114	459611000001100	0603020T0BCAAAF	NA	deltacortril 2.5mg gastro-resistant tablets (phoenix labs ltd)	deltacortril 2.5mg gastro-resistant tablets (phoenix labs ltd)	deltacortril 2.5mg gastro-resistant tablets	deltacortril 2.5mg gastro-resistant tablets	NA	AMP	325442004	H02AB06	gastro-resistant tablet	oral	prednisolone	2.500mg	ocs
431641000033110	331111000001100	0603020T0BCABAG	NA	deltacortril 5mg gastro-resistant tablets (phoenix labs ltd)	deltacortril 5mg gastro-resistant tablets (phoenix labs ltd)	deltacortril 5mg gastro-resistant tablets	deltacortril 5mg gastro-resistant tablets	NA	AMP	325443009	H02AB06	gastro-resistant tablet	oral	prednisolone	5.000mg	ocs
433941000033116	252811000001107	0501021A0BBADAE	e617.	distaclor 500mg capsules (flynn pharma ltd)	distaclor 500mg capsules (flynn pharma ltd)	distaclor 500mg capsules	distaclor 500mg capsules	distaclor 500mg capsules	AMP	39735111000001108	J01DC04	capsule	oral	cefaclor monohydrate	500.000mg	abx
4373141000033119	4515811000001108	0501021L0AAAPAP	NA	cefalexin 250mg/5ml oral suspension sugar free	cefalexin 250mg/5ml oral suspension sugar free	cefalexin 250mg/5ml oral suspension sugar free	cefalexin 250mg/5ml oral suspension sugar free	NA	VMP	4515811000001108	J01DB01	oral suspension	oral	cefalexin	50.000mg/1.000ml	abx
44041000033113	388611000001105	0501013B0BCAAAA	e315.	amoxil 250mg capsules (glaxosmithkline uk ltd)	amoxil 250mg capsules (glaxosmithkline uk ltd)	amoxil 250mg capsules	amoxil 250mg capsules	amoxil 250mg capsules	AMP	39732311000001104	J01CA04	capsule	oral	amoxicillin trihydrate	250.000mg	abx
44141000033112	709311000001106	0501013B0BCABAB	e316.	amoxil 500mg capsules (glaxosmithkline uk ltd)	amoxil 500mg capsules (glaxosmithkline uk ltd)	amoxil 500mg capsules	amoxil 500mg capsules	amoxil 500mg capsules	AMP	39732411000001106	J01CA04	capsule	oral	amoxicillin trihydrate	500.000mg	abx
4418141000033112	12911011000001100	0302000C0AABXBX	NA	beclometasone 100micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	beclometasone 100micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	beclometasone 100microg/formoterol 6microg/dose inh cfcfree	beclometasone 100micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	NA	VMP	12911011000001100	R03AK08	pressurised inhalation	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	100.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
4418241000033117	12906411000001100	0302000C0BQAABX	NA	fostair 100micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)	fostair 100micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)	fostair 100micrograms/dose / 6micrograms/dose inhaler	fostair 100micrograms/dose / 6micrograms/dose inhaler	NA	AMP	12911011000001100	R03AK08	pressurised inhalation	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	100.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
4498841000033119	13566211000001103	0301011R0AACBCB	NA	salbutamol 100micrograms/dose dry powder inhalation cartridge with device	salbutamol 100micrograms/dose dry powder inhalation cartridge with device	salbutamol 100microg/dose dry pdr inhalation cart with dev	salbutamol 100micrograms/dose dry powder inhalation cartridge with device	NA	VMP	13566211000001103	R03AC02	inhalation powder	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
4498941000033110	13566111000001109	0301011R0AACCCC	NA	salbutamol 100micrograms/dose dry powder inhalation cartridge	salbutamol 100micrograms/dose dry powder inhalation cartridge	salbutamol 100micrograms/dose dry pdr inhalation cartridge	salbutamol 100micrograms/dose dry powder inhalation cartridge	NA	VMP	13566111000001109	R03AC02	inhalation powder	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
4499041000033118	NA	NA	NA	novolizer salbulin inhalation cartridge + device 100 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
4499141000033119	NA	NA	NA	novolizer salbulin inhalation cartridge refill 100 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
452341000033110	583511000001100	0501021A0BBAEAG	NA	distaclor mr 375mg tablets (flynn pharma ltd)	distaclor mr 375mg tablets (flynn pharma ltd)	distaclor mr 375mg tablets	distaclor mr 375mg tablets	NA	AMP	36134211000001100	J01DC04	modified-release tablet	oral	cefaclor monohydrate	375.000mg	abx
45441000033117	500511000001107	0501013B0BGAAAA	NA	amoram 250mg capsules (lpc medical (uk) ltd)	amoram 250mg capsules (lpc medical (uk) ltd)	amoram 250mg capsules	amoram 250mg capsules	NA	AMP	39732311000001104	J01CA04	capsule	oral	amoxicillin trihydrate	250.000mg	abx
45541000033116	19211000001104	0501013B0BGABAB	NA	amoram 500mg capsules (lpc medical (uk) ltd)	amoram 500mg capsules (lpc medical (uk) ltd)	amoram 500mg capsules	amoram 500mg capsules	NA	AMP	39732411000001106	J01CA04	capsule	oral	amoxicillin trihydrate	500.000mg	abx
45641000033115	121011000001106	0501013B0BFAFAB	NA	amix 500 capsules (ashbourne pharmaceuticals ltd)	amix 500 capsules (ashbourne pharmaceuticals ltd)	amix 500 capsules	amix 500 capsules	NA	AMP	39732411000001106	J01CA04	capsule	oral	amoxicillin trihydrate	500.000mg	abx
460341000033118	793311000001106	0501021A0BBABAB	NA	distaclor 125mg/5ml oral suspension (flynn pharma ltd)	distaclor 125mg/5ml oral suspension (flynn pharma ltd)	distaclor 125mg/5ml oral suspension	distaclor 125mg/5ml oral suspension	NA	AMP	323792004	J01DC04	oral suspension	oral	cefaclor monohydrate	25.000mg/1.000ml	abx
460441000033112	602211000001101	0501021A0BBACAC	NA	distaclor 250mg/5ml oral suspension (flynn pharma ltd)	distaclor 250mg/5ml oral suspension (flynn pharma ltd)	distaclor 250mg/5ml oral suspension	distaclor 250mg/5ml oral suspension	NA	AMP	323793009	J01DC04	oral suspension	oral	cefaclor monohydrate	50.000mg/1.000ml	abx
46141000033118	644811000001100	0501013B0BFAEAA	NA	amix 250 capsules (ashbourne pharmaceuticals ltd)	amix 250 capsules (ashbourne pharmaceuticals ltd)	amix 250 capsules	amix 250 capsules	NA	AMP	39732311000001104	J01CA04	capsule	oral	amoxicillin trihydrate	250.000mg	abx
4815041000033111	14959511000001107	0302000K0AAAZAZ	NA	budesonide 100micrograms/dose inhaler cfc free	budesonide 100micrograms/dose inhaler cfc free	budesonide 100micrograms/dose inhaler cfc free	budesonide 100micrograms/dose inhaler cfc free	NA	VMP	14959511000001107	R03BA02	pressurised inhalation	inhalation	budesonide	100.000microgram/1.000dose	ics
4815141000033110	15374611000001106	0302000K0AABABA	NA	budesonide 200micrograms/dose inhaler cfc free	budesonide 200micrograms/dose inhaler cfc free	budesonide 200micrograms/dose inhaler cfc free	budesonide 200micrograms/dose inhaler cfc free	NA	VMP	15374611000001106	R03BA02	pressurised inhalation	inhalation	budesonide	200.000microgram/1.000dose	ics
4815241000033115	14951111000001102	0302000K0BBAMAZ	NA	pulmicort 100micrograms/dose inhaler cfc free (astrazeneca uk ltd)	pulmicort 100micrograms/dose inhaler cfc free (astrazeneca uk ltd)	pulmicort 100micrograms/dose inhaler cfc free	pulmicort 100micrograms/dose inhaler cfc free	NA	AMP	14959511000001107	R03BA02	pressurised inhalation	inhalation	budesonide	100.000microgram/1.000dose	ics
4815341000033113	15358411000001102	0302000K0BBANBA	NA	pulmicort 200micrograms/dose inhaler cfc free (astrazeneca uk ltd)	pulmicort 200micrograms/dose inhaler cfc free (astrazeneca uk ltd)	pulmicort 200micrograms/dose inhaler cfc free	pulmicort 200micrograms/dose inhaler cfc free	NA	AMP	15374611000001106	R03BA02	pressurised inhalation	inhalation	budesonide	200.000microgram/1.000dose	ics
4823141000033118	14759911000001105	0501050A0BCAAAD	NA	clamelle 500mg tablets (actavis uk ltd)	clamelle 500mg tablets (actavis uk ltd)	clamelle 500mg tablets	clamelle 500mg tablets	NA	AMP	39733511000001103	J01FA10	tablet	oral	azithromycin	500.000mg	abx
4823241000033113	9004411000001108	0302000U0AAABAB	NA	ciclesonide 160micrograms/dose inhaler cfc free	ciclesonide 160micrograms/dose inhaler cfc free	ciclesonide 160micrograms/dose inhaler cfc free	ciclesonide 160micrograms/dose inhaler cfc free	NA	VMP	9004411000001108	R03BA08	pressurised inhalation	inhalation	ciclesonide	160.000microgram/1.000dose	ics
4823341000033115	9004211000001109	0302000U0BBABAB	NA	alvesco 160 inhaler (astrazeneca uk ltd)	alvesco 160 inhaler (covis pharma europe b.v.)	alvesco 160 inhaler	alvesco 160 inhaler	NA	AMP	9004411000001108	R03BA08	pressurised inhalation	inhalation	ciclesonide	160.000microgram/1.000dose	ics
485841000033117	2964011000001104	0301040M0BBACAC	NA	duovent autohaler (boehringer ingelheim ltd)	duovent autohaler (boehringer ingelheim ltd)	duovent autohaler	duovent autohaler	NA	AMP	36066711000001102	R03AL01	pressurised inhalation	inhalation	fenoterol hydrobromide/ ipratropium bromide	100.000microgram/1.000dose + 40.000microgram/1.000dose	saba-sama
488041000033119	2923111000001107	0301040M0BBAAAA	NA	duovent inhaler (boehringer ingelheim ltd)	duovent inhaler (boehringer ingelheim ltd)	duovent inhaler	duovent inhaler	NA	AMP	36066611000001106	R03AL01	pressurised inhalation	inhalation	fenoterol hydrobromide/ ipratropium bromide	100.000microgram/1.000dose + 40.000microgram/1.000dose	saba-sama
497341000033117	NA	NA	NA	eformoterol fumarate breath-actuated inhaler 12 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
497441000033111	NA	NA	NA	eformoterol fumarate breath-actuated inhaler 6 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
498041000033115	NA	NA	NA	eformoterol fumarate dry powder for inhalation with inhaler device 12 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
5140041000033112	NA	NA	NA	oxis turbuhaler 4.5 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
5140141000033111	NA	NA	NA	oxis turbuhaler 9 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
5140541000033119	NA	NA	NA	symbicort turbuhaler 80/4.5 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba-ics
5140741000033110	NA	NA	NA	symbicort turbuhaler 160/4.5 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba-ics
5150141000033114	36564611000001104	0501030Z0AAAAAA	NA	doxycycline 40mg modified-release capsules	doxycycline 40mg modified-release capsules	doxycycline 40mg modified-release capsules	doxycycline 40mg modified-release capsules	NA	VMP	36564611000001104	J01AA02	modified-release capsule	oral	doxycycline monohydrate	40.000mg	abx
5150241000033119	15656211000001107	0501030Z0BBAAAA	NA	efracea 40mg modified-release capsules (galderma (uk) ltd)	efracea 40mg modified-release capsules (galderma (uk) ltd)	efracea 40mg modified-release capsules	efracea 40mg modified-release capsules	NA	AMP	36564611000001104	J01AA02	modified-release capsule	oral	doxycycline monohydrate	40.000mg	abx
52841000033110	389311000001106	0501013B0BCAGAI	NA	amoxil 125mg/1.25ml paediatric oral suspension (glaxosmithkline uk ltd)	amoxil 125mg/1.25ml paediatric oral suspension (glaxosmithkline uk ltd)	amoxil 125mg/1.25ml paediatric oral suspension	amoxil 125mg/1.25ml paediatric oral suspension	NA	AMP	35368511000001109	J01CA04	oral suspension	oral	amoxicillin trihydrate	100.000mg/1.000ml	abx
534141000033113	759811000001108	0501050C0BCAAAK	NA	erymax 250mg gastro-resistant capsules (teva uk ltd)	erymax 250mg gastro-resistant capsules (teva uk ltd)	erymax 250mg gastro-resistant capsules	erymax 250mg gastro-resistant capsules	NA	AMP	36064711000001106	J01FA01	gastro-resistant capsule	oral	erythromycin	250.000mg	abx
